time,wind_speed,wind_direction
2014-09-01 00:00,0.9846244623679185,148.475995
2014-09-01 01:00,1.7185577463117538,147.66355584217246
2014-09-01 02:00,2.0985822509284953,162.8579894981532
2014-09-01 03:00,2.0331031821313315,170.7858182122859
2014-09-01 04:00,1.9361231047669787,176.40040061819968
2014-09-01 05:00,2.067750975486473,180.9765414877349
2014-09-01 06:00,2.2152531209774944,186.95053288205807
2014-09-01 07:00,2.4544785066707138,192.1630997356296
2014-09-01 08:00,2.377072423147612,193.6956905934607
2014-09-01 09:00,2.3931937606386477,191.0545416428125
2014-09-01 10:00,2.533451153415318,191.0672648157414
2014-09-01 11:00,2.667257826,195.29315825950664
2014-09-01 12:00,2.764623475082148,196.90269240762836
2014-09-01 13:00,4.417957176271042,207.73226565263508
2014-09-01 14:00,4.490462592177884,210.48083660269103
2014-09-01 15:00,4.427849330435855,205.78148992578272
2014-09-01 16:00,4.791899025562575,201.72962721832278
2014-09-01 17:00,5.488479164244407,205.14901084343316
2014-09-01 18:00,5.629409006354952,202.92927046442938
2014-09-01 19:00,6.382035071480567,
2014-09-01 20:00,6.405300125256277,196.05744430064902
2014-09-01 21:00,6.467670823971277,197.85952453143415
2014-09-01 22:00,5.749271562431632,198.69476328819363
2014-09-01 23:00,5.268012124924595,215.95304657868485
2014-09-02 00:00,4.012117798347091,209.86761314853285
2014-09-02 01:00,3.9125255511756505,210.4112269424954
2014-09-02 02:00,3.922716251834323,216.55060495625239
2014-09-02 03:00,3.762406108722148,220.62719659946146
2014-09-02 04:00,3.653437885670999,226.48110053330478
2014-09-02 05:00,3.497893337844824,229.50545026608089
2014-09-02 06:00,3.237508647296674,231.7239675609612
2014-09-02 07:00,2.8241336452883847,230.33933155567198
2014-09-02 08:00,2.871169826839606,227.62557338224752
2014-09-02 09:00,2.8631596079892025,229.71164027841576
2014-09-02 10:00,2.8946069548555116,232.2266008856382
2014-09-02 11:00,2.793407359371381,230.5411367817587
2014-09-02 12:00,2.8271491181273043,227.47431902332883
2014-09-02 13:00,2.8555610064742787,228.55065114157074
2014-09-02 14:00,3.7128482646585197,242.7533686465374
2014-09-02 15:00,3.2136942484000985,246.81021179570232
2014-09-02 16:00,3.1681976704218537,253.42168370436923
2014-09-02 17:00,2.911974958724198,250.69223606232683
2014-09-02 18:00,3.0073752670307075,263.3833288347225
2014-09-02 19:00,2.3640917102586183,279.3845777
2014-09-02 20:00,2.850548610070841,282.52480987618105
2014-09-02 21:00,3.5209112572596157,296.9172560132767
2014-09-02 22:00,3.0391623524096434,309.3237257018783
2014-09-02 23:00,2.3179031182291707,324.7370812721365
2014-09-03 00:00,1.3793580311390303,351.27555718299885
2014-09-03 01:00,0.6303960601207792,55.35771923395697
2014-09-03 02:00,1.6628970083702952,146.6237945244584
2014-09-03 03:00,2.0332707269766104,163.42533386511627
2014-09-03 04:00,2.188431948,179.34854142240863
2014-09-03 05:00,2.2165908725930934,
2014-09-03 06:00,2.3016801146900616,233.04722392808927
2014-09-03 07:00,2.2906196557931535,
2014-09-03 08:00,2.1432794263381774,
2014-09-03 09:00,2.0602200631989183,
2014-09-03 10:00,1.9449739267153774,292.62522262843964
2014-09-03 11:00,1.7202077011922818,303.5499698975127
2014-09-03 12:00,1.1276423591885738,300.73251448476407
2014-09-03 13:00,0.7086074727172273,
2014-09-03 14:00,0.6551507729244088,279.62032542107846
2014-09-03 15:00,0.5538858402844253,266.93139411569615
2014-09-03 16:00,0.9099743997523222,243.78270973470012
2014-09-03 17:00,1.231399539368101,240.3801027899709
2014-09-03 18:00,1.3204733422143398,237.34057034972037
2014-09-03 19:00,2.0776459093841346,251.47985746570703
2014-09-03 20:00,2.135344020800154,246.88332629414498
2014-09-03 21:00,1.9279865500453681,230.38511630305078
2014-09-03 22:00,2.197871542,205.5600243769947
2014-09-03 23:00,2.2178600881364177,192.89797848193572
2014-09-04 00:00,2.217025364092568,179.3092923825958
2014-09-04 01:00,2.333482697328656,167.95312552826624
2014-09-04 02:00,2.4768879381053024,163.6698137620648
2014-09-04 03:00,2.6312394023062238,163.50323787251853
2014-09-04 04:00,2.7405540930816086,164.81783446888744
2014-09-04 05:00,2.8344910392839124,168.87716616664727
2014-09-04 06:00,2.966919204009535,172.16829743841663
2014-09-04 07:00,2.830106886524264,179.86842571758575
2014-09-04 08:00,2.677418364,184.90377990584787
2014-09-04 09:00,2.479282971241495,193.35736705067623
2014-09-04 10:00,2.4930522720998685,191.4015937310285
2014-09-04 11:00,2.6025955947019277,186.2619955350741
2014-09-04 12:00,2.6452226580824236,186.2240571666923
2014-09-04 13:00,2.9075900053736627,193.02812220725065
2014-09-04 14:00,3.7127078858760156,200.75560135503872
2014-09-04 15:00,4.317689965786185,209.99396163104953
2014-09-04 16:00,4.789679802971977,208.6701476340309
2014-09-04 17:00,5.033247629,202.95148413710214
2014-09-04 18:00,5.26721465,198.8751119
2014-09-04 19:00,5.207423137159114,197.56806729281763
2014-09-04 20:00,4.5218851084327625,197.26024044739987
2014-09-04 21:00,3.7540398495008827,199.30358908616645
2014-09-04 22:00,3.4625869236624727,196.10106499474514
2014-09-04 23:00,3.0206846152772697,178.12942873165582
2014-09-05 00:00,3.2187075789013857,166.35994537901524
2014-09-05 01:00,3.788120217939762,171.14018677249362
2014-09-05 02:00,4.074870797608271,181.33593657281588
2014-09-05 03:00,4.101990115110587,187.43049405632664
2014-09-05 04:00,4.012122331399792,196.47953004162002
2014-09-05 05:00,3.8398088936874153,205.4557696505528
2014-09-05 06:00,3.6827825026131116,206.31641762175713
